id,name,category,price,price_text,consumable,trainer_usable,pokemon_held_usable,equipment_slots,effect_text,source_id,source_page,needs_review
aguav-berry,Aguav Berry,Berry,250,,True,True,True,,"Bitter Treat*, Smart Poffin Ingredient",core,282,False
apicot-berry,Apicot Berry,Berry,250,,True,True,True,,+1 Special Defense CS,core,282,False
aspear-berry,Aspear Berry,Berry,150,,True,True,True,,"Cures Freeze, Tough Poffin Ingredient",core,282,False
babiri-berry,Babiri Berry,Berry,500,,True,True,True,,Weakens foe's super effective Steel-type move*,core,283,False
belue-berry,Belue Berry,Berry,250,,True,True,True,,Cool or Tough Poffin Ingredient,core,282,False
bluk-berry,Bluk Berry,Berry,150,,True,True,True,,Beauty Poffin Ingredient,core,282,False
charti-berry,Charti Berry,Berry,500,,True,True,True,,Weakens foe's super effective Rock-type move*,core,283,False
cheri-berry,Cheri Berry,Berry,150,,True,True,True,,"Cures Paralysis, Cool Poffin Ingredient",core,282,False
chesto-berry,Chesto Berry,Berry,150,,True,True,True,,"Cures Sleep, Beauty Poffin Ingredient",core,282,False
chilan-berry,Chilan Berry,Berry,500,,True,True,True,,Weakens foe's Normal- type move*,core,283,False
chople-berry,Chople Berry,Berry,500,,True,True,True,,Weakens foe's super effective Fighting-type move*,core,283,False
coba-berry,Coba Berry,Berry,500,,True,True,True,,Weakens foe's super effective Flying-type move*,core,283,False
colbur-berry,Colbur Berry,Berry,500,,True,True,True,,Weakens foe's super effective Dark-type move*,core,283,False
cornn-berry,Cornn Berry,Berry,250,,True,True,True,,Cures Disabled Condition.,core,282,False
custap-berry,Custap Berry,Berry,500,,True,True,True,,Grants the Priority keyword to any Move. May only be used at 25% HP or lower.,core,283,False
durin-berry,Durin Berry,Berry,250,,True,True,True,,Smart or Tough Poffin Ingredient,core,282,False
enigma-berry,Enigma Berry,Berry,250,,True,True,True,,User gains Temporary HP equal to 1/6th of their Max HP when hit by a Super Effective Move.,core,282,False
figy-berry,Figy Berry,Berry,250,,True,True,True,,"Spicy Treat*, Cool Poffin Ingredient",core,282,False
ganlon-berry,Ganlon Berry,Berry,250,,True,True,True,,+1 Defense CS,core,282,False
grepa-berry,Grepa Berry,Berry,500,,True,True,True,,Special Defense Suppressant*,core,283,False
haban-berry,Haban Berry,Berry,500,,True,True,True,,Weakens foe's super effective Dragon-type move*,core,283,False
hondew-berry,Hondew Berry,Berry,500,,True,True,True,,Special Attack Suppressant*,core,283,False
iapapa-berry,Iapapa Berry,Berry,250,,True,True,True,,"Sour Treat*, Tough Poffin Ingredient",core,282,False
jaboca-berry,Jaboca Berry,Berry,250,,True,True,True,,Foe dealing Physical Damage to the user loses 1/8 of their Maximum HP.,core,282,False
kasib-berry,Kasib Berry,Berry,500,,True,True,True,,Weakens foe's super effective Ghost-type move*,core,283,False
kebia-berry,Kebia Berry,Berry,500,,True,True,True,,Weakens foe's super effective Poison-type move*,core,283,False
kee-berry,Kee Berry,Berry,500,,True,True,True,,+1 Defense CS. Activates as a Free Action when hit by a Physical Move.,core,283,False
kelpsy-berry,Kelpsy Berry,Berry,500,,True,True,True,,Attack Suppressant*,core,283,False
lansat-berry,Lansat Berry,Berry,250,,True,True,True,,Increases Critical Range by +1 for the remainder of the encounter.,core,282,False
leppa-berry,Leppa Berry,Berry,500,,True,True,True,,Restores a Scene Move.,core,282,False
liechi-berry,Liechi Berry,Berry,250,,True,True,True,,+1 Attack CS.,core,282,False
lum-berry,Lum Berry,Berry,250,,True,True,True,,Cures any single status ailment,core,282,False
mago-berry,Mago Berry,Berry,250,,True,True,True,,"Sweet Treat*, Cute Poffin Ingredient",core,282,False
magost-berry,Magost Berry,Berry,250,,True,True,True,,Cures Enraged condition.,core,282,False
maranga-berry,Maranga Berry,Berry,500,,True,True,True,,+1 Special Defense CS. Activates as a Free Action when hit by a Special Move.,core,283,False
micle-berry,Micle Berry,Berry,250,,True,True,True,,Increases Accuracy by +1.,core,282,False
nanab-berry,Nanab Berry,Berry,150,,True,True,True,,Cute Poffin Ingredient,core,282,False
nomel-berry,Nomel Berry,Berry,250,,True,True,True,,Cures Infatuated condition.,core,282,False
occa-berry,Occa Berry,Berry,500,,True,True,True,,Weakens foe's super effective Fire-type move*,core,283,False
oran-berry,Oran Berry,Berry,150,,True,True,True,,Restores 5 Hit Points,core,282,False
pamtre-berry,Pamtre Berry,Berry,250,,True,True,True,,Cute or Beauty Poffin Ingredient,core,282,False
passho-berry,Passho Berry,Berry,500,,True,True,True,,Weakens foe's super effective Water-type move*,core,283,False
payapa-berry,Payapa Berry,Berry,500,,True,True,True,,Weakens foe's super effective Psychic-type move*,core,283,False
pecha-berry,Pecha Berry,Berry,150,,True,True,True,,"Cures Poison, Cute Poffin Ingredient",core,282,False
persim-berry,Persim Berry,Berry,150,,True,True,True,,Cures Confusion,core,282,False
