id,name,type,frequency_text,ac,damage_base,damage_dice,damage_set,class,range_text,effect_text,source_id,source_page,needs_review
absorb,Absorb,Grass,At-Will,2,2,1d6+3,7,Special,"4, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",core,380,False
accelerock,Accelerock,Rock,At-Will,2,4,1d8+6,1,Physical,"Melee, 1 Target, Priority",,sumo,22,False
acid,Acid,Poison,At-Will,2,4,1d8+6,11,Special,Cone 2,Acid lowers the target's Special Defense 1 Combat Stage on 18+.,core,414,False
acid-armor,Acid Armor,Poison,Scene,,,,,Status,"Self, Set-Up","The user becomes Liquefied. While Liquefied, the user is Slowed and cannot take Standard Actions except to Resolve the effect of Acid Armor, and the user's Movement is never obstructed by rough or slow terrain, and they can shift even through the smallest openings. Furthermore, while liquefied, the user is completely immune to all Physical damage, and becomes completely invisible if fully submerged in any liquid. The user gains +1 Defense Combat Stage, and then stops being liquified.",core,414,False
acid-spray,Acid Spray,Poison,EOT,2,4,1d8+6,11,Special,"4, 1 Target",Acid Spray lowers the target's Special Defense 2 Combat Stages.,core,414,False
acrobatics,Acrobatics,Flying,EOT,2,6,2d6+8,15,Physical,"Melee, Dash, 1 Target","If the user is not holding an item, Acrobatics instead has a Damage Base of 11 (3d10+10 / 27).",core,373,False
acupressure,Acupressure,Normal,EOT,2,,,,Status,"Melee, 1 Target or Self","Roll 1d6. On a result of 1, raise the target's Attack 2 Combat Stages. On a result of 2, raise the target's Defense 2 Combat Stages. On a result of 3, raise the target's Special Attack 2 Combat Stages. On a result of 4, raise the target's Special Defense 2 Combat Stages. On a result of 5, raise the target's Speed 2 Combat Stages. On a result of 6, raise the target's Accuracy by +2.",core,391,False
aerial-ace,Aerial Ace,Flying,EOT,,6,2d6+8,15,Physical,"Melee, 1 Target",Aerial Ace cannot miss.,core,373,False
aeroblast,Aeroblast,Flying,Daily,3,10,3d8+10,24,Special,Line 6,Aeroblast is a Critical Hit on an Even-Numbered Roll.,core,373,False
after-you,After You,Normal,Scene x2,,,,,Status,"6, 1 Target","After You is a Swift Action. The target takes their turn for the round immediately after the user finishes their turn, ignoring Initiative. After You may only affect a target that has not yet acted that round and can only affect willing targets.",core,391,False
agility,Agility,Psychic,EOT,,,,,Status,Self,Raise the user's Speed 2 Combat Stages.,core,418,False
air-cutter,Air Cutter,Flying,At-Will,2,6,2d6+8,15,Special,Cone 2,Air Cutter is a Critical Hit on 18+.,core,373,False
air-slash,Air Slash,Flying,EOT,3,8,2d8+10,19,Special,"6, 1 Target",Air Slash Flinches the target on 15+.,core,373,False
ally-switch,Ally Switch,Psychic,Scene,,,,,Status,"6, 1 Target, Interrupt","Ally Switch may be declared during a foe's turn as an Interrupt. The user chooses one willing ally within 6 meters; the target and the user switch places. If the ally was a target of a Move, the user is now the target; If the user was a target of a Move, the ally is now the target.",core,418,False
amnesia,Amnesia,Psychic,EOT,,,,,Status,Self,Raise the user's Special Defense 2 Combat Stages.,core,418,False
anchor-shot,Anchor Shot,Steel,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target",The Target is Trapped for 2 rounds. Anchor Shot may only be used from the user's Anchor Token.,sumo,23,False
ancient-power,Ancient Power,Rock,EOT,2,6,2d6+8,15,Special,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1 Combat Stage.",core,426,False
apple-acid,Apple Acid,Grass,EOT,2,8,2d8+10,19,Special,Cone 2,The target's Special Defense is lowered by 1 CS.,new,11,False
aqua-jet,Aqua Jet,Water,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target, Priority",None,core,432,False
aqua-ring,Aqua Ring,Water,Scene,,,,,Status,"Self, Coat",Aqua Ring covers the user in a Coat that heals the user at the beginning of their turn. The user is healed a Tick of Hit Points each turn.,core,432,False
aqua-tail,Aqua Tail,Water,EOT,4,9,2d10+10,21,Physical,"Melee, Pass",None,core,432,False
arcane-fury,Arcane Fury,Normal,EOT,3,3,1d6+5,9,Special,Cone 2,Arcane Fury's Targets become Vulnerable on 19+.,got,44,False
arcane-ray,Arcane Ray,Normal,EOT,2,3,1d6+5,9,Special,"WR, 1 Target, Double Strike",Arcane Ray Flinches the target on 19+.,edit,54,False
arcane-storm,Arcane Storm,Normal,Scene x2,2,6,2d6+8,15,Special,"WR, Blast 3",All targets of Arcane Storm are Slowed and Vulnerable for 1 Full Round.,got,45,False
arm-thrust,Arm Thrust,Fighting,EOT,4,2,1d6+3,7,Physical,"Melee, 1 Target, Five Strike",None,core,363,False
aromatherapy,Aromatherapy,Grass,Scene,,,,,Status,Burst 1,All allies in the burst are cured of one status condition of their choice.,core,380,False
aromatic-mist,Aromatic Mist,Fairy,EOT,,,,,Status,Burst 1,All allies in Aromatic Mist's area of effect have their Special Defense raised 1 Combat Stage.,core,360,False
assist,Assist,Normal,Scene x2,,,,,Status,Self,Randomly select another Pokémon on the user's roster and then randomly select a Move that Pokémon knows. Assist's user uses that Move immediately.,core,391,False
