id,name,prerequisites_text,cost_text,effect_text,source_id,source_page,needs_review
ability-mastery,Ability Mastery,Prerequisites: Level 60,3 Tutor Points,"The Pokémon gains an additional Ability, picked from any Ability it could naturally qualify for.",core,204,False
accuracy-training,Accuracy Training,Prerequisites: Level 20,1 Tutor Point,"Pick a Move with an AC of 3 or higher; the AC of the target Move is permanently lowered by 1. This Poké Edge may be taken up to three times, each time selecting a different Move.",core,205,False
advanced-connection,Advanced Connection,Prerequisites: An Ability with the Connection Keyword,1 Tutor Point,Choose an Ability with the Connection Keyword that the target has; the Connected Move no longer takes up a Move Slot for the user.,core,204,False
advanced-mobility,Advanced Mobility,Prerequisites: Level 20,1 Tutor Point,"Increase one Movement Capability by 2. This Edge may be taken multiple times, but may not be applied more than once to the same Movement Capability.",core,205,False
attack-conflict,Attack Conflict,Prerequisites: None,1 Tutor Points,"Select Attack or Special Attack. From now on, that Stat does not need to remain higher than Stats it surpasses in Base Relations, and similarly all other Stats surpassed by it do not need to remain lower.",core,204,False
aura-pulse,Aura Pulse,"Prerequisites: Level 30, Aura Reading, owned by a",2 Tutor Points,The Pokémon gains the Aura Pulse Capability.,core,205,False
basic-ranged-attacks,Basic Ranged Attacks,"Prerequisites: Level 20, one of Firestarter, Fountain,",1 Tutor Point,"Choose one of the Capabilities listed in the prerequisites for this Poké Edge. Struggle Attacks modified by that Capability may now be made at a range of up to 6 meters. This Poké Edge may be taken multiple times, selecting a different Capability each time.",core,205,False
capability-training,Capability Training,Prerequisites: Level 20,1 Tutor Point,"Increase Power or a Jump Capability by 1. Capability Training may be taken multiple times, each time increasing a different Capability.",core,205,False
enticing-bait,Enticing Bait,"Prerequisites: Level 20, Alluring Capability",1 Tutor Point,"When activating the Alluring Capability, the user adds the higher of its Athletics or Focus Ranks to its d20 roll.",core,205,False
extended-invisibility,Extended Invisibility,"Prerequisites: Level 20, Invisibility Capability",1 Tutor Point,The user may remain Invisible for up to 8 minutes.,core,205,False
far-reading,Far Reading,"Prerequisites: Level 20, Telepath Capability",1 Tutor Point,The user treats their Focus Rank as 2 higher for the purposes of determining the range of Telepath.,core,205,False
mixed-sweeper,Mixed Sweeper,"Rank 1 Prerequisites: Level 10, Invested at least 5 Level- | Rank 2 Prerequisites: Level 20, Invested at least 10 | Rank 3 Prerequisites: Level 40, Invested at least 15",1 Tutor Point each Rank,"Each Rank, the user gains 3 Stat Points to distribute freely between HP, Defense, Special Defense, or Speed. These bonus points are treated as if they were ""Level Up"" points, and do not alter Base Stats.",core,204,False
precise-threadings,Precise Threadings,"Prerequisites: Level 20, Threaded Capability",1 Tutor Point,The user may use their Threaded Capability at a range of 6 meters and with an AC of 3 rather than 6.,core,205,False
realized-potential,Realized Potential,"Prerequisites: Level 30, User is an Underdog Pokémon",2 Tutor Points,"Subtract the user's Species Base Stat Total from 45. The user gains Bonus Stat Points equal to the remain- der. These Stat Points must follow Base Stat Relations as normal. If the user evolves to a species with a Base Stat Total 45 or higher, Realized Potential is removed and the Tutor Points refunded.",core,204,False
seismometer,Seismometer,"Prerequisites: Level 20, Tremorsense Capability",1 Tutor Point,The user's Tremorsense range is increased by a number of meters equal to their Perception Rank.,core,205,False
skill-improvement,Skill Improvement,Prerequisites: None,1 Tutor Point,"Rank up one Skill that is currently at or below its default level for the species. This Edge may be taken multiple times, each time selecting a different Skill.",core,204,False
tk-mastery,TK Mastery,"Prerequisites: Level 20, Telekinetic Capability",1 Tutor Point,The user treats their Focus Rank as 2 higher for the purposes of the Telekinetic Capability.,core,205,False
trail-sniffer,Trail Sniffer,"Prerequisites: Level 20, Tracker Capability",1 Tutor Point,The user gets a bonus to all Perception Rolls to use the Tracker Capability equal to their Focus Rank.,core,205,False
underdogs-lessons,Underdog's Lessons,Prerequisites: Underdog's Strength,1 Tutor Point,"Choose a Level-Up Move from one of the user's Final Evolutions that it can learn at or below its current Level. The user learns that Move as if it were a Level- Up Move and can now learn Moves from TMs, HMs, and Tutoring from the lists of that Final Evolution. Underdog's Lessons may be taken up to three times but must use the same Final Evolution each time in the case of Pokémon with multiple Final Evolutions.",core,205,False
underdogs-strength,Underdog's Strength,"Prerequisites: Level 15, User is an Underdog Pokémon",1 Tutor Point,The user has each of their Base Stats increased by +1. The user may no longer undergo Evolution.,core,204,False
