id,name,parent_class,section,tags,prerequisites_text,activation_text,effect_text,source_id,source_page,needs_review
branded,Branded,Branded,Legendary Advancement,"[""PATRON STAT""]",Prerequisites: GM Permission,Static,"You have made a contract with a deity or other supernatural being and have been Branded for it. This Brand may or may not be of your choosing. The other party will uphold their side of the deal and expects you to do the same. Other Legendaries may be wary to grant you Gifts in the future based on the contents of this contract. Your Patron Stats for this feature are those of the being you made your contract with. If this being was not a typical Legendary, its Patron Stats are its two highest base stats.",blessed,50,False
gift-of-command,Gift of Command,General Legendary Gifts,Legendary Advancement,"[""PATRON STATS""]",Prerequisites: One Major Gift from Your Patron,"Legendary Static | 2 AP - Standard Action, Interrupt Static Effect: You sense the presence of and can identify those with Gifts coming from your patron's subservient Pokémon. You know which Gifts someone has from your patron's subservient Pokémon by looking at them. 2 AP Effect: Target Trainer within 8 meters with a Gift from your patron's subservient Pokémon has the Gift of your choice from that subservient Pokémon disabled for the next ten minutes.",,blessed,53,True
giftsapper,Giftsapper,General Legendary Gifts,Legendary Advancement,"[""+Any Stat""]","Prerequisites: GM Permission, No Gifts",Static,"As long as Giftsapper's user is conscious, all Trainers within 10 meters must make a Focus Check with DC equal to three times the highest Skill Rank of Giftsapper's user between Focus, Intimidate, or Command in order to activate their Gifts. This Check is made each time a Trainer attempts to use an activated Gift, and a failure means neither any resources such as AP nor the frequency of the Gift is expended. For Gifts with Static or ongoing effects, the Check is made each turn, and a failure ends the effect for that turn. Giftsapper's user may never gain Gifts.",blessed,54,False
symbolsight,Symbolsight,General Legendary Gifts,Legendary Advancement,"[""PATRON STAT""]",Prerequisites: GM Permission,Static | 1 AP - Standard Action,,blessed,54,True
blessed-power,Blessed Power,Legendary Blessings,Legendary Advancement,[],Prerequisites: Blessed Strike,Messiah: Static Signer: Swift Action Messiah Effect: Choose a Damaging Move on your Patron's Level Up List that has a Damage Base of 8 or lower and matches one of their Types. You learn this Move. Signer Effect: You instead gain this chosen Move until of combat. You may choose a different Move each time you activate this Sign.,,blessed,55,True
blessed-resilience,Blessed Resilience,Legendary Blessings,Legendary Advancement,[],Prerequisites: Blessed Power,Messiah: Static Signer: Standard Action Messiah Effect: Choose two Types your Patron has Resistance or Immunity to. You gain Resistance to these types. Signer Effect: Choose a single Type your Patron has Resistance or Immunity to. You gain this Resistance to this Type until the end of the Scene. You may choose a different Type each time you use Blessed Resilience.,,blessed,56,True
insight-of-the-great-ones,Insight of the Great Ones,Legendary Blessings,Legendary Advancement,[],Prerequisites: Ancient Wisdom,"Messiah: Scene - Swift Action Signer: Swift Action Signer Target: A Pokémon or Trainer. Messiah Effect: You become aware of any Pacts, Patrons, or Allegiances the Target may have to a Legendary being or any organizations. If this Target has a particular weakness (Both Narrative and mechanical), you become aware of it. You also become aware of any goals or motives the Target might possess at the moment. Signer Effect: You learn one of the Target's weaknesses (Narrative or mechanical). If this target aligned to a Legendary or an organization, you become of aware of this fact, but not of who or what in particular. You also learn if this Targets motives or goals would harm your Patron or their followers.",,blessed,56,True
luck-of-the-gods,Luck of the Gods,Legendary Blessings,Legendary Advancement,[],Prerequisites: Paragon,Messiah: Daily - Free Action Signer: Free Action Messiah Trigger - You fail a Skill Check or Accuracy Roll. Signer Trigger - You roll a Skill Check or Accuracy Roll. Messiah Effect: You may reroll this Skill Check or Accuracy Roll. Signer Effect: You may add +4 to this Skill Check or +2 to this Accuracy Roll.,,blessed,55,True
soul-mending,Soul Mending,Legendary Blessings,Legendary Advancement,[],Prerequisites: Spirit Mending,"Messiah: One Time Use/10 - Extended Action Signer: Interrupt Messiah Trigger: A Trainer or Pokémon dies. Signer Trigger: A Trainer or Pokémon is reduced below 0 HP. Messiah Effect: Your divine powers allow you to intervene, saving the Target's life. They are set to 5 Injuries that will heal at half the normal rate, and 1 HP. Signer Effect: The Target receives no further injuries after being reduced below 0 HP. If being Knocked Out alone would set them to 10 injuries, they instead are set to 9 Injuries.",,blessed,55,True
articunos-major-gift-winters-kiss,Articuno's Major Gift - Winter's Kiss,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Elemental Soul,Static,You gain the Winter's Kiss Ability.,blessed,58,False
azelfs-major-gift-drain-will,Azelf's Major Gift - Drain Will,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Force of Will,3 AP - Standard Action,"You and the Target make a Contested Focus Check. If you win the Check, the Target is unable to take Shift or Standard Actions for their next 1d2 turns. Regardless of whether or not you won the Check, the Target suffers a -3 penalty to all rolls for the rest of the encounter, or for fifteen minutes outside of combat. The target becomes immune to further uses of Drain Will for 24 hours.",blessed,60,False
azelfs-minor-gift-force-of-will,Azelf's Minor Gift - Force of Will,Legendary Gifts,Legendary Advancement,[],Prerequisites: GM Permission,,Reroll all dice that result in a roll of 1 when making Focus and Command Checks.,blessed,59,False
cresselias-major-gift-dreamspinner,Cresselia's Major Gift - Dreamspinner,Legendary Gifts,Legendary Advancement,[],"Prerequisites: Major Gift - Oneiromancy, Major Gift -",Dream Augury Static,You gain the Dreamspinner Ability.,blessed,65,False
cresselias-pact-gift-lunar-dance,Cresselia's Pact Gift - Lunar Dance,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Dreamspinner,Static,You learn the Move Lunar Dance.,blessed,65,False
