id,name,frequency_action_text,trigger_text,target_text,effect_text,source_id,source_page,needs_review
abominable,Abominable,Static,,,"The user's Base HP is increased by +5. Additionally, the user ignores the Recoil Keyword when attacking.",feb2016,3,False
absorb-force,Absorb Force,Scene - Free Action,,,The user takes damage as if the attack was resisted one step further.,edit,56,False
accelerate,Accelerate,Scene x2 - Free Action,,,"The user may use a damaging Move to which they add STAB as a Priority Move. If the Move hits, the user adds half their Speed Stat to the Damage Roll. If the Move already had Priority, the attack gains a +4 Bonus to Accuracy. Replaces: Maelstrom Pulse, Leaf Rush, & Gale Wings",sumo,6,False
adaptability,Adaptability,Static,,,The user gains a +1d10 Bonus to Damage Rolls with Moves with which they apply STAB.,feb2016,3,False
aerilate,Aerilate,At-Will - Free Action,The user uses a Normal-Type damaging Move,,The Move is changed to be Flying-Type.,core,311,False
aftermath,Aftermath,Scene - Free Action,The user becomes Fainted,,The user creates a Burst 1. Everything in the Burst loses three Ticks of Hit Points.,feb2016,3,False
air-lock,Air Lock,Scene - Free Action,,,The weather is set to normal as long as the Pokémon with Air Lock wants it to remain that way. The user may continue to sustain this effect as a Swift Action each round.,core,311,False
ambush,Ambush,Scene - Free Action,,,"The user may activate this Ability to use a Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched and has a -2 penalty to Accuracy Rolls for 1 full round.",feb2016,3,False
analytic,Analytic,Static,,,"Whenever the user targets uses a damaging Move on a Pokémon or Trainer that has acted before it during Initiative this Round, that Move deals an additional +5 Damage.",core,311,False
anchored,Anchored,Static,,,"Dhelmise has an Anchor token on the field, which occupies one square as if it is Medium sized but is otherwise ignored for cover and targeting. Dhelmise cannot move or be moved more than 3 meters away from its Anchor, willingly or otherwise. The Anchor token itself cannot be pushed, pulled, or moved against Dhelmise's will in any way. Dhelmise may shift their Anchor Token as a Swift Action, moving it to any open space within 3 meters of itself.",sumo,1,False
anger-point,Anger Point,At-Will - Free Action,,,"When the Pokémon receives a Critical Hit, they become Enraged and gain +6 Attack Combat Stages.",core,311,False
anticipation,Anticipation,At-Will - Swift Action,,Pokémon or Trainers,"The target reveals if they have any Moves that are Super-Effective against the Pokémon with Anticipation. You may not target a Pokémon or Trainer more than once per encounter with Anticipation. Anticipation only reveals whether the opponent does or does not have those moves, not the specific moves themselves.",core,311,False
aqua-boost,Aqua Boost,At-Will - Free Action,An adjacent Ally uses a damaging Water-Type Move,,The allied target gains a +5 Bonus to its damage roll with the triggering Move. A target may not benefit from more than one instance of Aqua Boost at a time.,core,311,False
aqua-bullet,Aqua Bullet,Static,,,"Connection - Aqua Jet. The user may use Water- Type Moves as a Full Action to gain Sky 10 and shift in a straight line before attempting to use their Move. When shifting this way, the user does not provoke attacks of opportunity.",feb2016,12,False
arena-trap,Arena Trap,Scene - Free Action,,Pokémon or Trainers,"Once Arena Trap is activated, all foes within 5 meters of the user are considered Slowed and Trapped. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is Fainted or returned to a Poké Ball.",feb2016,3,False
aroma-veil,Aroma Veil,Static,,,"The user and all adjacent Pokémon and Trainers cannot become Confused, Enraged, or Suppressed. Defensive.",feb2016,3,False
aura-break,Aura Break,Scene - Swift Action,,A foe within 6 meters,The foe reveals its abilities. Pick one ability; any Damage Bonuses (either Damage Base increases or Damage Roll bonuses) granted by the ability instead become Damage Penalties of the same value.,feb2016,3,False
aura-storm,Aura Storm,Static,,,"For each injury the user has, they gain a +3 Bonus to Damage Rolls.",feb2016,3,False
