id,name,prerequisites_text,effect_text,source_id,source_page,needs_review
acrobat,Acrobat,Prerequisites: Novice Acrobatics,Increase your Jump and Long Jump Capabilities by +1 each.,core,56,False
adept-skills,Adept Skills,Prerequisites: Level 2,You Rank Up a Skill from Novice to Adept. You may take this Edge multiple times.,core,52,False
apricorn-balls,Apricorn Balls,Prerequisites: Novice Survival or Adept Technology,"As an Extended Action, you may craft Apricorns into their corresponding Poké Ball. Use of this Feature requires access to a Poké Ball Tool Box.",core,53,False
art-of-stealth,Art of Stealth,Prerequisites: Expert Stealth,You gain the Stealth Capability.,core,56,False
athletic-initiative,Athletic Initiative,Prerequisites: Adept Athletics,You learn the Move Agility.,core,54,False
bad-mood,Bad Mood,Prerequisites: Expert Intimidate,"Your Critical Hit Range is increased by +1 if you are suffering from a Persistent Status Affliction. Your Critical Hit Range is increased by +1 if you are suffering from a Volatile Status Affliction. These stack with each other, giving a total of +2 to Critical Hit Range if you are suffering from both a Persistant and a Volatile Status Affliction.",core,54,False
basic-balls,Basic Balls,Prerequisites: Novice Technology Education,You may craft Basic Balls for $100 and Great Balls for $175. Requires access to a Poké Ball Tool Box.,core,53,False
basic-cooking,Basic Cooking,Prerequisites: Novice Intuition,"You may create ""Candy Bars"" or ""Baby Food"" with cooking ingredients costing $50. You may fluff the food in any reasonable manner you like.",core,53,False
basic-martial-arts,Basic Martial Arts,Prerequisites: Novice Combat,You learn the Move Rock Smash.,core,54,False
basic-psionics,Basic Psionics,Prerequisites: Elemental Connection (Psychic),You learn the Move Confusion.,core,54,False
basic-skills,Basic Skills,Prerequisites: None,"You Rank Up a Skill from Pathetic to Untrained, or Untrained to Novice. You may take this Edge multiple times.",core,52,False
beast-master,Beast Master,Prerequisite: Novice Intimidate,You may use Intimidate instead of Command to make Pokemon at 0 or 1 Loyalty obey your commands. You may also use Intimidate instead of Command to determine the limits and Bonus Experience from Training.,core,53,False
breeder,Breeder,Prerequisites: Novice Pokémon Education,"If you are able to give two Pokémon that are compatible for breeding at least 4 hours of time alone, you may make a Pokémon Education Check with a DC of 12. If you succeed, the Pokémon are guaranteed to produce an egg if you give them an additional 4 hours.",core,53,False
categoric-inclination,Categoric Inclination,Prerequisites: None,"Choose Body, Mind, or Spirit. You gain a +1 Bonus to all Skill Checks of that Category.",core,52,False
charmer,Charmer,Prerequisites: Novice Charm,You learn the Move Baby-Doll Eyes.,core,54,False
confidence-artist,Confidence Artist,Prerequisites: Novice Guile,You learn the Move Confide.,core,54,False
demoralize,Demoralize,Prerequisites: Adept Intimidate,"Whenever you land a Critical Hit on a foe, that foe becomes Vulnerable. Status-Class Moves with an Accuracy Roll can ""Crit"" for the purposes of activating this effect on a natural roll of 19 or higher, and any ef- fects that expand your Critical-Hit Range also expand this range.",core,54,False
dynamism,Dynamism,Prerequisites: Novice Guile,Your initiative is increased by your Guile Rank.,core,54,False
elemental-connection,Elemental Connection,Prerequisites: None,"Choose an Elemental Type. You gain a +2 bonus to Charm, Command, Guile, Intimidate, and Intuition Checks targeting Pokémon of that Type. You may not take Elemental Connection if you have the Mystic Senses Edge, and you may not take Mystic Senses if you have Elemental Connection.",core,56,False
expert-manipulator,Expert Manipulator,Prerequisites: Adept Guile,"You gain a +2 Opposed Checks with all Manipulate Maneuvers. The ""Once per Scene per Foe"" Limitation of each Manipulate Maneuver is expended only upon succesfully affecting a foe with that Manipulate Maneuver.",core,54,False
expert-skills,Expert Skills,Prerequisites: Level 6,You Rank Up a Skill from Adept to Expert. You may take this Edge multiple times.,core,52,False
expert-trickster,Expert Trickster,Prerequisites: Adept Stealth,"You gain a +2 Opposed Checks with all Dirty Trick Maneuvers. The ""Once per Scene per Foe"" Lim- itation of each Dirty Trick Maneuver is expended only upon successfully affecting a foe with that Dirty Trick Maneuver.",core,55,False
flustering-charisma,Flustering Charisma,Prerequisites: Adept Charm or Guile,"When you hit with a Move with the Social keyword, the target takes a -2 penalty to Save Checks against Volatile Status Afflictions for 1 full round.",core,55,False
gem-lore,Gem Lore,Prerequisites: Novice Occult Education,"As an Extended Action, you may turn a Shard into a Gem of one of its associated Types. Additionally, you can turn 4 Red Shards into a Fire Stone; 4 Blue Shards into a Water Stone; 4 Yellow Shards into a Thunder Stone; 4 Orange Shards into a Shiny Stone; 4 Green Shards into a Leaf Stone; or 4 Violet Shards into a Dusk Stone. You can also destroy any of these six Stones to gain 4 Shards of the corresponding color.",core,53,False
grace,Grace,"Prerequisites: Novice Charm, Command, Guile,","Your Pokémon may consume and benefit from 2 more Poffins each. If this Pokémon is traded to a Trainer without the Grace feature, these extra dice from additional Poffins are not lost, but a Trainer without Grace may not benefit from more than 6 Dice gained from Poffins. You may always use any of the Skills that are prerequisites for Grace in the Introduction Stage of a Contest to roll for Contest Stat Dice of any kind.",core,53,False
green-thumb,Green Thumb,Prerequisites: Novice General Education or Novice,You know how to grow Apricorns and Tier 1 Berries using a Portable Grower or Fertilized Soil.,core,53,False
groomer,Groomer,Prerequisites: Novice Pokémon Education,"You know how to effectively groom your Pokémon with access to a Groomer's Kit. You may groom up to 6 Pokémon in one hour. Grooming Pokémon may count as an hour of Training, and you may apply Experience Training, teach Poke-Edges, and apply any Features that could be applied during Training. If you apply Experience Training from Grooming, use your General Education or Pokémon Education Rank to determine Bonus Experience gained during Training. A Pokémon that has been Groomed also gains a +1d6 Bonus to the Introduction Roll of a Contest for the rest of the day.",core,54,False
instinctive-aptitude,Instinctive Aptitude,Prerequisite: Adept Intuition,"Whenever you spend AP to raise your roll on an Accuracy Roll or Skill Check, you get a +2 bonus instead of +1. This cannot be used on Rolls made by your Pokémon.",core,56,False
instruction,Instruction,Prerequisite: Novice General Education,"Whenever you aid an ally in an Assisted Skill Check using an Education Skill you have at Novice Rank or higher, add your full Rank value as a bonus to their roll instead of half.",core,56,False
intimidating-presence,Intimidating Presence,Prerequisites: Novice Intimidate,You learn the Move Leer.,core,55,False
iron-mind,Iron Mind,Prerequisites: Novice Focus,"You become aware of all attempts to read your mind with Telepathy, whether the attempt is successful or not.",core,56,False
kip-up,Kip Up,Prerequisites: Expert Acrobatics,You may stand up from being Tripped as a Swift Action,core,55,False
leader,Leader,Prerequisites: Adept Command,You learn the Move After You.,core,55,False
master-skills,Master Skills,Prerequisites: Level 12,You Rank Up a Skill from Expert to Master. You may take this Edge multiple times.,core,52,False
medic-training,Medic Training,Prerequisites: Novice Medicine Education,"When you use Restorative Items on others, they do not forfeit their next turn.",core,56,False
mounted-prowess,Mounted Prowess,Prerequisites: Novice Acrobatics or Athletics,"You automatically succeed at Acrobatics and Athletics Checks made to mount a Pokémon, and you gain a +3 Bonus to all Acrobatics and Athletics Checks made to remain Mounted.",core,56,False
mystic-senses,Mystic Senses,Prerequisites: Novice Intuition,"You may use Intuition instead of Charm to improve the disposition of Wild Pokémon. You may not take Mystic Senses if you have the Elemental Connection Edge, and you may not take Elemental Connection if you have Mystic Senses.",core,56,False
nimble-movement,Nimble Movement,Prerequisites: Adept Acrobatics or Stealth,"Whenever you Disengage, you Shift 2 meters instead of 1.",core,55,False
paleontologist,Paleontologist,Prerequisites: Novice Pokémon Education or Novice,"You can identify fossils with a DC 10 Pokémon Education or Survival Check. You know how to operate Reanimation Machines and can use them to revive Fossils. See the ""Pokémon Fossils"" section (page 216) for more information.",core,54,False
poke-ball-repair,Poké Ball Repair,Prerequisites: Basic Balls or Apricorn Balls,"You may attempt to fix any Poké Ball that has failed to capture a Pokémon and broke. Make a Technology Check with a DC of 15. If you succeed, the Poké Ball is fixed and is treated as if it had not broken. If you fail, the ball is permanently broken. Requires access to a Poké Ball Tool Box.",core,53,False
pokepsychologist,PokéPsychologist,Prerequisites: Novice Pokémon Education,"You may use your Pokémon Education Skill instead of Charm, Guile, Intimidate, or Intuition when making general Skill checks to interact with Pokémon or to raise or lower disposition.",core,56,False
power-boost,Power Boost,Prerequisites: Expert Athletics,Increase your Power Capability by +2,core,56,False
repel-crafter,Repel Crafter,Prerequisites: Novice Medicine or Technology Edu,Create a Repel for $100 or a Super Repel for,core,53,False
scholar,Scholar,Prerequisites: Expert General Education,"You gain a +1 Bonus to Skill Checks with General Education, Medicine Education, Occult Education, Pokémon Education, Technology Education, and Survival.",core,56,False
skill-enhancement,Skill Enhancement,Prerequisites: None,"Choose two different Skills. You gain a +2 bonus to each of those skills. Skill Enhancement may be taken multiple times, but the bonus may be applied only once to a particular skill.",core,52,False
